Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-12-31,48.521,51.824,48.521,51.09,5031236
2013-01-31,51.09,63.199,49.744,58.47,4201136
2013-02-28,58.633,60.549,56.023,57.654,1905120
2013-03-29,57.491,57.94,53.903,56.676,2240051
2013-04-30,56.676,57.899,53.944,57.899,1562065
2013-05-31,57.654,69.234,56.268,68.337,6449314
2013-06-28,68.5,79.656,66.16,72.985,4963997
2013-07-31,73.393,73.393,67.407,69.332,3689090
2013-08-30,69.585,79.101,69.585,74.616,5824518
2013-09-30,74.616,75.016,68.5,73.344,3883600
2013-10-31,73.393,81.955,58.731,63.607,8985377
2013-11-29,63.615,66.665,59.53,61.161,2463101
2013-12-31,61.25,66.706,57.94,66.437,3154920
2014-01-31,66.298,72.17,62.792,71.762,4060653
2014-02-28,71.762,79.224,70.416,79.224,2704106
2014-03-31,74.942,78.514,68.598,71.517,4411290
2014-04-30,71.884,72.48,64.325,65.091,5130798
2014-05-30,65.205,68.084,61.976,68.084,4826394
2014-06-30,68.051,69.283,64.749,67.685,4562045
2014-07-31,67.685,67.685,61.984,62.996,1725679
2014-08-29,62.8,66.453,61.332,62.147,2791248
2014-09-30,62.792,71.68,61.895,69.275,5562083
2014-10-31,68.492,69.315,57.948,60.998,3435877
2014-11-28,61.234,66.812,60.761,64.423,1703184
2014-12-31,64.015,67.929,59.546,63.591,2775949
2015-01-30,63.542,71.338,61.511,70.049,4367137
2015-02-27,69.356,70.359,66.306,67.513,1600546
2015-03-31,67.644,69.315,62.914,67.929,3234037
2015-04-30,67.277,73.311,67.277,71.762,3499387
2015-05-29,72.431,81.539,71.191,75.807,2831245
2015-06-30,75.268,77.429,65.98,72.846,4916690
2015-07-31,72.659,74.004,66.706,70.498,4139232
2015-08-31,70.498,72.985,63.933,71.615,2581628
2015-09-30,70.131,72.577,64.023,64.586,3094842
2015-10-30,65.377,68.745,62.123,66.249,3551665
2015-11-30,65.89,67.122,57.98,59.628,2512570
2015-12-31,59.978,59.978,49.01,54.229,8133471
2016-01-29,54.139,54.139,43.652,49.092,5054078
2016-02-29,49.214,52.745,47.518,48.823,4178684
2016-03-31,48.839,57.034,48.113,52.973,4862349
2016-04-29,53.813,60.59,53.658,56.284,6660376
2016-05-31,56.268,57.9,50.75,51.66,6377322
2016-06-30,51.6,55.24,48.23,52.28,4114422
2016-07-29,52.78,55.04,48.7,50.5,3782323
2016-08-31,51.06,57.74,50.25,53.29,6237269
2016-09-30,53.65,53.65,45.93,46.41,6441726
2016-10-31,47,49.57,45.6,47.15,4737478
2016-11-30,47,47.31,41.6,44.65,7369527
2016-12-30,44.31,55.6,43.01,54.19,18166628
2017-01-31,54.32,63.22,53.85,61,9378760
2017-02-28,61.2,68.26,60.6,65.42,5640456
2017-03-31,65.42,76.89,62,71.48,7275116
2017-04-28,72.34,75.39,68.5,74.59,3665522
2017-05-31,75.4,77.41,68.01,68.2,6232818
2017-06-30,68.19,70,58.58,61.75,12016398
2017-07-31,61.74,64.24,58.93,64.1,5690770
2017-08-31,64.29,66.94,61.1,66,5540421
2017-09-29,66.04,68.9,61.8,68.49,7766778
2017-10-31,68.5,73.25,65.5,72.33,6241262
2017-11-30,72.54,75.6,69.2,72.05,3647242
2017-12-29,71.82,79.55,70.6,79.5,3860727
2018-01-31,79.3,88.65,71.7,85.5,6762717
2018-02-28,85.75,88.85,80.3,83.35,5910365
2018-03-30,83.05,83.05,72,73.55,8045929
2018-04-30,72.35,74.4,68.5,72,2744293

